old                                      new                                      ref
5c34644d8531d836a4674fa54ff3745730773960 995a45d48109538f71388223fa9c15d144c68601 refs/heads/dependabot/docker/deployment/golang-1.24
3e92bf395b5f60292ad5d6717808f5a8a76f4559 188f3be570d69faaeedb02f6bfcc29646b5fa407 refs/heads/dependabot/github_actions/dot-github/workflows/actions/checkout-4
912e26a8f1f715407475a9ac508d1cf1fa5f14f2 c8eda2e3b45cdf3809b7a35828cd440654cb58ac refs/heads/dependabot/github_actions/dot-github/workflows/actions/setup-go-5
65adfc15727c9be2ddf731a9c80b7b0195d5206e 33fc10287e3fd1990d0db59a50d4a67cb347bebc refs/heads/dependabot/github_actions/dot-github/workflows/docker/build-push-action-6
d73de141a1cfb15f68b8d11d5667a356e6016839 4f5bcde1ac82b0c97354586a817f2e3eec6108f3 refs/heads/dependabot/github_actions/dot-github/workflows/docker/login-action-3
1280b002bf7ce0ea87724e4d7d91baa2bf889466 8c2ef17f3e2e626ba134179eb170bb53a0e21010 refs/heads/dependabot/go_modules/dyndns/github.com/go-playground/validator/v10-10.25.0
d0cb363ecbc2770e93199e3eca48d24a44e917a4 4f5ea5a9e0c95254692370e62b1fea412c3d1bca refs/heads/dependabot/go_modules/dyndns/github.com/labstack/echo/v4-4.13.3
78ca3957af83778adaf942a4ff34b80a41e7802f 1586c8fb4df837e6978209e9c876c9b209b4bc52 refs/heads/dependabot/go_modules/dyndns/github.com/tg123/go-htpasswd-1.2.3
7de9d81cf28b92bf07bfe06a3171bb7f94e1676a fc4ae4574661a60425eb6cedd39923aff39f66d0 refs/heads/dependabot/go_modules/dyndns/golang.org/x/crypto-0.45.0
470964951ff7eed1c8edb232a756391eb529b2e2 9ebe69833ed09d2609733074cabfeef867b33d06 refs/heads/dependabot/go_modules/dyndns/golang.org/x/net-0.38.0
0f2afd02d1b47184eff3b76ce1f44567e6b2069c d68133dbbfd913b7c7d240ce7c5eec3b1ea59791 refs/heads/dependabot/go_modules/dyndns/gorm.io/gorm-1.25.12
bcf0d8db8b340718277dbba3b44a585493f26aa5 3b2a07ae14ad3963b00eea11db1e32cd968c2b30 refs/heads/main
6cc20a66e51f1782a9c392488458738099f5f94f 47c2aab0e215615b338d8ebc5374eceabeceb7e8 refs/heads/master
076ddfa2f36925bfb0155f39fdf86284307b425c 0eed3502904ca9063a0dfc4b9b3434bea3f8135b refs/heads/release/26.08-01
bcf0d8db8b340718277dbba3b44a585493f26aa5 3b2a07ae14ad3963b00eea11db1e32cd968c2b30 refs/heads/release/26.08-02
8b05d434ddbd7a1a1bcec07abfcf59bf895caef2 2f215bca7de20125966ac096c8e25a163cd36b15 refs/heads/v2-0-0
2de81e5a7b2d14813c486f27bc9823cab4dada71 1b5842b3097e46fd8e00d9ddb1dac29172896400 refs/heads/v2-0-1/2
4ee5362d593790dee0de71b280a189ea81263b22 0000000000000000000000000000000000000000 refs/tags/0.1
77c174adf05865c0ec0e382032d3e18281557cdf 0000000000000000000000000000000000000000 refs/tags/0.2
d84bcbeef6d7bc166a9e441a6aa394211013d2e0 0000000000000000000000000000000000000000 refs/tags/0.3
56c46933a6666bf9c9dfb6b6b4db2e7252c8876b 0000000000000000000000000000000000000000 refs/tags/1.0.0
6d16ce7b3f9b5c1978a94233771260f544033af0 0000000000000000000000000000000000000000 refs/tags/1.1.0
f65012480fe5733cd555cda4b6dc8794080cf4e8 0000000000000000000000000000000000000000 refs/tags/1.1.1
5d87fb370b4c7f8176356491663344d051d11ed6 0000000000000000000000000000000000000000 refs/tags/1.1.2
2150703545b9e5d400bfecf71d2aee1a0094f734 0000000000000000000000000000000000000000 refs/tags/1.1.3
6cc20a66e51f1782a9c392488458738099f5f94f 0000000000000000000000000000000000000000 refs/tags/1.1.4
b03f8fd3f4cd8c2c087154510bc99da5db5d5610 0000000000000000000000000000000000000000 refs/tags/26.08-01
5b531a5c2f66f80b60a18c102046a02cde29271b 0000000000000000000000000000000000000000 refs/tags/26.08-02
08ebcf48b272a6274b7153cb2c7fc97637a48d12 0000000000000000000000000000000000000000 refs/tags/pre-hermes-26.08-01
