"original_tag","original_type","original_object","original_peeled_commit","rewritten_tag","rewritten_type","rewritten_object","rewritten_peeled_commit"
"0.1","commit","4ee5362d593790dee0de71b280a189ea81263b22","4ee5362d593790dee0de71b280a189ea81263b22","hermes-v0.1","commit","774f257349fffb2d30ae2c2eb3c62a23fb52725d","774f257349fffb2d30ae2c2eb3c62a23fb52725d"
"0.2","commit","77c174adf05865c0ec0e382032d3e18281557cdf","77c174adf05865c0ec0e382032d3e18281557cdf","hermes-v0.2","commit","5f04da6f63a5ea3a3cbddf38857738ea768b2b09","5f04da6f63a5ea3a3cbddf38857738ea768b2b09"
"0.3","commit","d84bcbeef6d7bc166a9e441a6aa394211013d2e0","d84bcbeef6d7bc166a9e441a6aa394211013d2e0","hermes-v0.3","commit","5ec1c818cc35cc12d29125d0ac2a3d71eec7de05","5ec1c818cc35cc12d29125d0ac2a3d71eec7de05"
"1.0.0","commit","56c46933a6666bf9c9dfb6b6b4db2e7252c8876b","56c46933a6666bf9c9dfb6b6b4db2e7252c8876b","hermes-v1.0.0","commit","dc5104e47b63bc12f5cad2545afef4a3dd4e0fc6","dc5104e47b63bc12f5cad2545afef4a3dd4e0fc6"
"1.1.0","commit","6d16ce7b3f9b5c1978a94233771260f544033af0","6d16ce7b3f9b5c1978a94233771260f544033af0","hermes-v1.1.0","commit","c5a8a33a4db113ad34b92f06c4db0f80f66f0a58","c5a8a33a4db113ad34b92f06c4db0f80f66f0a58"
"1.1.1","commit","f65012480fe5733cd555cda4b6dc8794080cf4e8","f65012480fe5733cd555cda4b6dc8794080cf4e8","hermes-v1.1.1","commit","9241f45f930b604d325705b95548d98d000445fe","9241f45f930b604d325705b95548d98d000445fe"
"1.1.2","commit","5d87fb370b4c7f8176356491663344d051d11ed6","5d87fb370b4c7f8176356491663344d051d11ed6","hermes-v1.1.2","commit","97e0f6fbafcd0327b12a78b74c5279a66f30f5a3","97e0f6fbafcd0327b12a78b74c5279a66f30f5a3"
"1.1.3","commit","2150703545b9e5d400bfecf71d2aee1a0094f734","2150703545b9e5d400bfecf71d2aee1a0094f734","hermes-v1.1.3","commit","435c9965d6aa17ea5e733c0135b3dd7f0635698d","435c9965d6aa17ea5e733c0135b3dd7f0635698d"
"1.1.4","commit","6cc20a66e51f1782a9c392488458738099f5f94f","6cc20a66e51f1782a9c392488458738099f5f94f","hermes-v1.1.4","commit","47c2aab0e215615b338d8ebc5374eceabeceb7e8","47c2aab0e215615b338d8ebc5374eceabeceb7e8"
"26.08-01","tag","b03f8fd3f4cd8c2c087154510bc99da5db5d5610","076ddfa2f36925bfb0155f39fdf86284307b425c","hermes-v26.08-01","tag","88ec44400de6ab2b957be8870cc2e90118ebdc47","0eed3502904ca9063a0dfc4b9b3434bea3f8135b"
"26.08-02","tag","5b531a5c2f66f80b60a18c102046a02cde29271b","bcf0d8db8b340718277dbba3b44a585493f26aa5","hermes-v26.08-02","tag","09683ff3514f05f52f2096fc0bb68714e62d806c","3b2a07ae14ad3963b00eea11db1e32cd968c2b30"
"pre-hermes-26.08-01","tag","08ebcf48b272a6274b7153cb2c7fc97637a48d12","5c34644d8531d836a4674fa54ff3745730773960","hermes-vpre-hermes-26.08-01","tag","a8a21bc3a31b03fd9e132dec3ba5ec2d07f3e947","995a45d48109538f71388223fa9c15d144c68601"
